,occurence
• (- Boston Transcript,1
"know is how to write a novel."" Isabel Paterson h N Y Tribune",1
•f Hit R,1
N Y Tribune p!> O,1
-{ New Repub 33:sup22 X,1
"more exacting tasks to come."" Heywood Broun h lit Bk R",1
Spec 129:sup662 N,1
NY Call pll Ap,1
Greensboro (N.C.) Daily News pS D,1
Tud J »n/T,1
i,1
The Times (London] Lit Sup pll,1
-f- Lit D,1
Lit R P.TI7,1
-I New Statesman 1!):G44 S,1
Spec 129:sup810 D,1
Boston Transcript pi,1
-f> N Y Times pi O,1
"bit of fiction—namely, suspense."" h N Y Times",1
"ind 100:137,8 IB",1
Sprinqf'd Republican,1
Booklist 18:1S9 Mr,1
« Wis Lib Bui,1
r- Bookm,1
Booklist r- :>iO,1
-! Lit R,1
•i Sat R,1
f Freeman,1
Lit O,1
Wis Lib Bui ivlSG Jl,1
Cleveland pSB X,1
Sprfnaf'd Republican,1
large ^rd|£8ton Trangcr|pt,1
•f Detroit News,1
New Repub 32:33!l N,1
NY Tribune pll N,1
Spec 12!t:G03 O,1
Wis Lib Bui lS:27.r> D,1
"MACHEN, ARTHUR. Far-off things.",1
Nation 115:sup377 O,1
N Y Times pin Ja,1
Springfd Republican plO,1
Cleveland pSfi N,1
-) Sprlngrd Republican,1
Greensboro (N.C.) Dally News plO S,1
Lit D pfil N,1
N Y Times plC My,1
Sprlngf'd Republican plO Ja,1
—. Boston Transcript pi Ap,1
Books I.M Ja,1
"play his power fully."" L. A. G. Strong h Spec",1
Books rl l S,1
Books I'M Ap,1
N Y Tribune pi Jl,1
|- Boston Transcript pi My,1
Booklist 'i:123 Ja,1
"Is a bit too flat-footed to be Rood satire."" h N Y Time* pll Ag",1
"in most of the ""Short Stories of",1
Int Bk R p-lfi D,1
I) Boston Transcript,1
'' Lit'R,1
h Atlantic's Bookshelf Mr,1
-r N Y Evening Post,1
Lit R.pl95 N,1
It begins ttomewhere about,1
Booklist lfl:SG D,1
No Am 216:8G1 D,1
Yale R n s 22:viil autumn,1
f- Books pll O,1
h N Y Times pis O,1
h Boston Transcript pi Ag,1
"amental significance."" F. T. Marsh h N Y Times",1
Books p« Ag,1
",- Springf'd Republican",1
"•Beyond' would be utterly negligible."" E. F. E. Boston Transcript",1
-• Christian Science Monitor,1
Sat R of Uit,1
milila^ iTmTs'lLondon] Lit Sup,1
-I Boo km,1
-I Yale R n s 22:xxii winter,1
Sp«o,1
"Springf'd Republican p""e Jl",1
-f- Books pi,1
SDOC,1
",- Commonweal",1
• h New Repub,1
"relieved by moments of insight and sincerity."" New Repub",1
Sat R of Lit !>:56 Ag,1
"stead of the other way around."" Martin Heflin Books plO F",1
'• New Statesman and Nation,1
• i Books plO My,1
"more tangled conflicts of the present."" r- Books",1
Book* pS Je,1
"of color, movement and excitement."" h Books plO O",1
Atlantic Bookshelf Ag,1
Books i>li Jl,1
Books pH Ja,1
-i . Christian Science Monitor,1
Forum 87:xiv F,1
•I NY Times,1
-\ Boston Transcript pi N,1
New Hepub,1
i New Statesman apd Nation,1
Sat R of Lit 8:GS4 Ap,1
"dren's teeth should be set on edge."" N Y Times pis O",1
NY Times plfi Ag,1
:-• Books plO Ap,1
^ Theatre Arts Mo,1
_j Times [London] Lit Sup,1
Souks,1
Books j>M Mr,1
Books |.r. Ag,1
Books DlO Mr,1
-f- Churchman,1
NY Times pig O,1
••;- Books,1
i Times [London | Lit Sup,1
N Y Tlmc« pC S,1
J,1
"h Sat R ir,3:224 F",1
Nation U5:sup384 O,1
exercise °.]m^ [London] Uit Sup,1
Books plO .l.-t,1
Timet | London | Lit Sup,1
r- Library J,1
-i J Phllot,1
picture^ rimfif [London-| Lit Sup,1
Books I'll N,1
Books pg S,1
Books ]il,1
N Y Times pis My,1
"~t,7imes [London] Lit Sup",1
"sedulously prepared for by Miss Wilson."" N Y Time*",1
N Y Tlmei plO Jl,1
No Am 234:xvi D,1
"tinguished prose and wearisome banality."" h Sat R of Lit",1
-j New Statesman and Nation,1
h N Y Evening Po»t,1
"and he can create atmosphere."" W. R. Ben£t Sat R of Lit",1
tale] __ Sprlngf'd Republican,1
girls.,1
Lit R pSliS Jl,1
Spnmjf'd Republican,1
"even the coherence of depicted incoherence."" h N Y Tim«s",1
Wic Lib BUI,1
-i Chicago Dally Tribune pll Jl,1
Books I'M My,1
N«w Outlook,1
Times [London] Lit Sup pBOl Jl,1
Book! pS Jl,1
Bouk in,1
Forum 87:viii My,1
|- Times [London] Lit Sup,1
••(- Nation,1
Books i.li Ag,1
: Outlook,1
",New Repub",1
(- Books pll N,1
-I America,1
Atlantic Bookshelf Jl,1
(- New Statesman and Nation,1
••: Boston Transcript,1
-\ New Statesman and Nation,1
Times'[London] Lit Sup,1
"indictment, does not go deep enough."" New Repub",1
-:- Bookni,1
-I .NY Times,1
Yale R n »,1
h Am Econ R,1
Harvard Business R,1
"Book,11",1
"up to the author's accustomed mark."" N Y Times",1
N Y Times pi] S,1
Books pS,1
; Cath World,1
i- Christian Science Monitor,1
NY Tim«s,1
"tinguished style which the author commands."" N Y Times",1
"""TooNSJw Statesman and Nation",1
Book.m,1
Am Mercury 25:xxiv F,1
-\ NY Times pl« Ap,1
-•- Springf d Republican,1
Book* pg My,1
"feels in her handling of her material."" h N Y Times",1
-I .Sat R of Lit,1
Books |il,1
-) • Springf'd Republican,1
I Sat R,1
-(-'—'Boston Transcript,1
Sprmgfd Republican pTe N,1
-I Times [London] Lit Sup pfi65 S,1
-\- New Statesman and Nation,1
r Atlantic Bookshelf,1
-\ Forum,1
N Y Times pB Ja,1
-j- Springf dt Republican,1
-) Forum,1
Boston Transcript p'l D,1
)- Times [London] Lit Sup,1
. Book in,1
Books pg Ag,1
"the book of power."" Vincent Engels h Commonweal",1
"Western Soc ,Eng J",1
N Y Times plfl D,1
Sprlnfff'd Republican,1
-| Books pll O,1
i- Books PC s i,1
; Time* [London] Lit Sup,1
\- Books plO My,1
Bookg,1
h- New Statesman and Nation,1
In h Books pg S,1
Times [London.] Lit Sup,1
—.+ New Statesman and Nation,1
N Y Even'ng Post,1
Books j.i4 Mr t>,1
Book in 75:xlv Ap,1
Times [London] Lit Sup pTll O,1
• Boston Transcript pi O,1
Springf'Q Republican,1
Bookm 75:lii Je,1
•i New Statesman and Nation,1
"N Y Evening Post p"" S",1
"lessness, would be difficult to match. And sex."" Books plO N",1
t- New Repub,1
Atlantic Bookshelf Ja,1
"is the measure of its failure."" Evan Shipman New Repub",1
Books plZ S,1
Books pi- Mr,1
-jj. _ Times [London] Lit Sup,1
"White House even in a wholly fictional story."" Boston Transcript",1
-:• New Repub,1
N Y Tribune pu,1
i Atlantic Bookshelf O,1
Am Mercury 25:xxviil Ap,1
•t Boston Transcript,1
. New Statesman and Nation l:> O,1
Chicago Daily tribune,1
-| . Books plo Ap,1
Am Mercury 25:xxvi Ap,1
"""t New Statesman and Nation",1
"one consistent ana great."" Basil Davenport Sat R of Lit",1
"""T57imes [London] Lit Sup",1
Christian Science Monitor pa Mr,1
-( Books pll Mr,1
Book* plO S,1
Spec 147:sup786 D,1
r New Statesman and Nation,1
Forum S7:viii My,1
Chicago Daily Tribune pS O,1
Sprlngf d Republican pTe Ap,1
f- Books plO Ja,1
",N Y Times pig Ja",1
N Y Time* pll O,1
~~Jlme' [London] Lit Sup,1
PitUburoh Mo Bui,1
! Boston'Transcript,1
"~l""n« Times [London] Lit Sup",1
N Y Tlmet pl» Ja,1
"""Apart from its romance, the story.",1
Spec 12<l:!)75 D,1
"The Times [London] Lit Sup pf.SS O ;r,",1
Forum 87:vii Ap,1
"h B.,okin",1
-tv Nation,1
"scenes scattered through the melange."" (- New Repub",1
Lit SuP,1
"is hardly more than a pot-boiler."" (- Books",1
BooKm,1
"also possesses literary virtues of a higher order."" Sat R of Lit",1
Book in 75:xiv My,1
Spec 147:sup543 O,1
> New Statesman and Nation,1
-r- Nation,1
"more important for it to do."" Isldor Schneider h Books",1
-;oN?™ Statesman and Nation,1
New fit-pub,1
T'me8 [London] Lit Sup,1
-) Forum 88:vil S,1
Books pie F,1
N Y Times O,1
-) -Sat R of Lit,1
"-,- Times [London] Lit Sup",1
"Books pi; N f,",1
•: Books,1
BJSIOII Transcript pi My,1
Spi-imjf'd Republican,1
-\ Booktn,1
.H Books,1
Forum 88:vii Jl,1
Yale R n s 22:zxlil winter,1
Books pS S IS,1
_ N Y Evening Post,1
Sat R trf Lit,1
N Y Times plO X,1
"being in what closely resembles a vacuum."" h N Y Times",1
"ends with a loud cymbal-crash of comment."" h Nation",1
Sat R of Lit 'J:259 N,1
Am Hist ft,1
NY .Times,1
-I Books pS O,1
N Y Tim««,1
:- Books,1
Bookm 74:xlv Ja,1
Bookl,1
-| Christian Science Monitor plO My,1
•-;- Sat R of Lit,1
-| Times I London] Lit Sup,1
-f- Boston Transcript pi Ag,1
^ Sat R,1
-t • Boston Transcript,1
.— NY Evening Post,1
-( NY Time*,1
Books in l O,1
• New Statesman and Nation,1
N Y Times pi S IS,1
Springf'd Republican pTe N,1
j- New Statesman and Nation,1
Pratt-,1
•] Books,1
Book.n,1
• Forum 88:viii N,1
New York of,1
Survey 4D:supl92 N,1
Books pin O,1
Times [London] Lit Sup pf.37 S,1
Cath World.,1
)IQ.I i we^sston -rranscript,1
_j .NY Times,1
HamS+ N Y Times,1
-I Christian Science Monitor plG Mr,1
-t Commonweal,1
Booki plO Je,1
Springfd Republican pTe Jl,1
Book* plO Mr,1
-) Chicago Sunday Tribune,1
"<N Y Herald Trl""une)",1
"to what purpose is it all?"" Enid Sheppard (- Canadian Forum",1
N Y Herald Tribune Bk R pG Jl,1
Chicago Sun pt S,1
N Y Timet plO N,1
-I NY Herald Tribune Bk R pi O,1
■j Spec,1
-t- Bookmark,1
NY Herald Tribune Bk R pT Ap,1
Manchester Guardian pi O,1
New Statesmen & Nation,1
-( Klrkus,1
Tlmej [London] Lit Sup,1
; Boiton Transcript pi Ap,1
NY Herald Tribune Bk R pi Ja,1
N V Herald Tribune Bk R,1
NY Herald Tribune Bk R plO Ap,1
-| NY Herald Tribune Bk R pt Ag,1
NY Herald Tribune Bk R pi Je,1
San Francisco Chronicle pU Je,1
Chicago Sunday Tribune pi,1
Chicago Sunday Tribune pll Ag,1
■ Christian Science Monitor,1
Sykes ^ ^ Times,1
-{ NY Herald Tribune Bk R pll Ag,1
Chicago Sunday Tribune pi Ag,1
Springf'd Republican plOC My,1
j Chicago Sunday Tribune pi My,1
"a setting for a story that never materializes."" h Klrkus",1
Springf'd Republican plOO My,1
"an unfortunate political bias."" Richard Plant h N Y Timet",1
N Y Herald Tribune Bk R plG S,1
Yale R ns 29:vlii winter,1
Chlcaso Sun,1
Chicago Sunday Tribune pll Ap,1
■+- Christian Science Monitor pll F,1
-I NY Herald Tribune Bk R pi S,1
Chicago Sunday tribune,1
"thoroughly fake from beginning to end."" h New Yorker",1
(- Time,1
'+ N Y Herald Tribune Bk R,1
Atlantlo,1
Christian Science Monitor plS N,1
"raphy; the poems are distorted, not clarified."" Sat R of Lit",1
'+ '— Christian Century,1
-) Harvard Law R,1
"Ik, Library J",1
+'— Commonweal,1
"forgettable poignance."" Alfred Kazin New Yorker",1
"of becoming formulas."" John Cournos h Sat R of Lit",1
Booklist 47:34;61 S,1
"can be terribly painful when it falls flat."" h Time",1
Chicago Sunday Tribune pi N S,1
San Franclso Chronicle,1
Horn,1
"board figures cannot be heroes."" J. M. Grant H Sat R of Lit",1
"an encyclopedic knowledge."" Richard Plant h N Y Times",1
"death and fire and love are entangled."" Kirkus",1
.NY Herald Tribune Bk R,1
N Y Herald Tribune Bk R pis N,1
• San Francisco Chronicle pll N,1
New SUtesman & Nation,1
■: New Statesman & Nation,1
"unjustly and almost cheaply."" Seymour Krlm h N Y Times",1
"the plot is hard to credit."" Anne Whitmore h Library J",1
Chicago Sun plG S,1
"formal elegance of a good farce."" M. M. Ahern h N Y Times",1
-I • Kirkus,1
unlcago Sunday Tribune plO Je,1
•I Chicago Sunday Tribune plO Mr,1
"but the theme founders."" R. D. Charques h Spec",1
"one could desire."" Isaac Anderson h N Y Times",1
", NY Herald Tribune Bk R",1
_| NY Herald Tribune Bk R,1
Sprinaf'd Republican plOC D,1
"than of the sketch of a novel."" W. V. Clark h N Y Times",1
: Chicago Sunday Tribune,1
Library J 75:1'661 O,1
"and unconvincing."" Nona Balaklan N Y Times",1
Sprinflf'd Republican plGA Ja,1
hlcago Sunday Tribune,1
-| N Y Herald Tribune Bk R,1
Bookm 67:xxx Jl,1
Pratt I'll autumn,1
r- Ind,1
erS Books (N Y Herald Tribune),1
"**+""— Sat R of Lit",1
-f'— Boston Transcript,1
~t>7'm?8 I London] Lit Sup,1
(- Survey,1
HU+_ Ann Am Acad,1
-I Books (N Y Herald Tribune) plT My,1
NY Even-ing Post,1
-j Boston Transcript pi Ap,1
Bookm 67:xxl Ag,1
•,1
"other popular writers of fiction of this type."" h N Y Time*",1
J Times [London] Lit Sup pllO F,1
Boston Transcript [it Ja,1
N Y T.mes plS O,1
Bookm 68:xxxvili O,1
int J Ethics,1
N Y Times pM F,1
No Am 226:adv Mr,1
• i • N Y Times,1
-\ Living Age,1
Books (N Y Herald Tribune) pS S,1
Bookm 67:xxxv My,1
. N Y Evening Post,1
New iRepub,1
"[London] Lit S""P",1
-| Time* [London] Lit Sup,1
Bookm 67:xxxlv My,1
of Grade,1
-:• Times [London] Lit Sup,1
"the open country, from Canada to",1
Books (N Y Herald Tribune) plG Ap,1
(- N Y World pllm F,1
"sons it Is none the less irritating."" h Nation",1
;• Books (N Y Herald Tribune),1
h N Y Times cS Ja,1
No Am 225:ndv Mr,1
h Tlmei [London] Lit Sup,1
_ Outlook,1
Springf'd Republican pSf Ag,1
N Y Evening Post pS My,1
Boston Transcript pi;,1
N Y Herald Tribune Bk R pig Ap,1
N Y Herald Tribune Bk R pi F,1
-| 'Sat R of Lit,1
5cwlcaao Sunday Tribune,1
\- Chicago Sun,1
Chicago Sunday Tribune pi F t,1
N Y Herald Tribune Bk R pl» Ap,1
Springf'd Republican p!>B Jl,1
-r San Francisco Chronicle,1
-I U S Quarterly Bkl,1
-I NY Times pll S,1
Christian Science Monitor plG D,1
A Christian Science Monitor,1
N Y Herald Tribune Bk R pi Ja,1
Chicago Sunday Tribune pi F,1
NY Herald Tribune Bk Ft,1
-) NY Times pll S,1
-) Chicago Sunday Tribune pll Ja,1
-i Christian Science Monitor pl& O,1
. Bookmark,1
Chicago Sun plB Je,1
'U S Quarterly Bkl,1
-t NY Herald Tribune Bk R,1
First published In Sweden In,1
Chicago Sunday Tribune plO Ap,1
•- Sat R of Lit,1
"swarm about to be victimized."" r- ind",1
Pittsburgh Mo Bui 33:4S1 O,1
h Books (N Y Herald Tribune) pis Ap,1
"admTrers.""PleaSe",1
•r Boston Transcript pi Mr,1
Times [London] Lit Sup pl!4 P,1
-r- Dial,1
Times [Londonl Lit Sup plOS F,1
"becomes a little silly."" Alfred Kazin h Books plO N",1
Christian Science Monitor pS My,1
'+' _' sat R of Lit,1
Chicago Sunday Tribune pi O,1
Chicago Sunday Tribune pS O,1
• r Christian Century,1
N Y Herald Tribune Bk R pi Mr t,1
NY Times plo D,1
■f Library J,1
W,1
• Bookmark,1
Chicago Sunday Tribune pi D,1
-I Chicago Sun,1
Yale R ns 29:xii winter,1
-! Christian Science Monitor plO S,1
Books PlO Jl,1
Sprlngf'd Republican pie N,1
•)- Living Age,1
of e**-ZJhf*t\M,1
Yale R n s 29:xlii winter,1
-i Sprimjf'd Republican,1
! Boston Transcript pi N,1
'— Sat R of Lit,1
-I sat R of Lit,1
f- Time,1
"ants In particular."" Mary Ross Books",1
"and better novels."" L. M. Field h N Y Times",1
-| NY Times pi Je,1
Tlmo,1
-( New Re pub,1
New Statesman *• Nation,1
f'Times [London] Lit Sup pll Ja,1
: Nation,1
N Y Time* plO Ag,1
Times [London] Lit Sup pill,1
Manchester Quardian pS Ag,1
| Times [London] Lit Sup,1
-I Social Studies,1
Springf'd Republican pTe D,1
Yale R ns 28:viil spring,1
h Boston Transcript pi N,1
Spec 161:sup,1
--- Manchester Guardian,1
Sorlnaf'd Republican,1
•{- Nation,1
•j- N Y Time*,1
) Boston Transcript pi Jl,1
~800\'meS tLondon] Lit SuP,1
-H Books,1
Sprinaf'd Republican plO D,1
-!- Sprlngf'd Republican,1
"alone does not make novels."" Clifton Fadiman New Yorker",1
-I Boston Transcript pi My,1
. Christian Science Monitor plO My,1
Yale R n s 28:viii summer,1
Yale Rna 28:xll spring,1
h Atlantic D,1
Sprlngf'd Republican pTe O,1
m Library J,1
physical *jn-«-'Uo|ldon] LIt Sup,1
Books PC O,1
"~7,nN'™ Statesman & Nation",1
Yale R n s 29:viii autumn,1
Cleveland Open Shelf pic Ag,1
-f- Living Age,1
New Statesman *. Nation,1
™- Boston Transcript pi Ja,1
Yale R ns 28:xll spring,1
• Christian Science Monitor plO Ag,1
Yala R n s 29:vili autumn,1
~7»oNew Statesman & Nation,1
BooKs plO Je,1
Times [London] Lit Sup pClfi,1
-i J Phllos,1
Bookt plO D,1
! Books pi Ja,1
"Shaw Is not an exciting being."" George Conrad h Books",1
N Y New Tech Bk«,1
Yale R n s 2S:vl summer,1
H- Canadian Forum,1
n eraon^ y T|mat,1
| Library J,1
Times [London] Lit Sup sup xxiii N,1
Books iili Mr,1
I Manchester Guardian,1
F- Boston Transcript pi Ap,1
T'mes [London] Lit Sup,1
N Y Time* p« Ja,1
-) Christian Science Monitor pll O,1
".o7',m^s [London] Lit Sup",1
CLondon;1 Lit Sup,1
Books pB Ap,1
NY Times pB Ap,1
Books iiM Ja,1
"former he Is unconvincing."" M. G. Cohen h Canadian Forum",1
Christian Science Monitor plS Ap,1
"e the real thing."" E. H. Walton NY Times",1
-| Springf d Republican,1
Springf'd Republican pS Ja,1
"Sat ,R ol Lit",1
Book. plS F,1
!- Springfd Republican,1
-) NY Tlmei,1
Yale R ns 28:viii spring,1
R°th Library J,1
'N Y Herald Tribune Bk R,1
_j NY Herald Tribune Bk R,1
-t- Chicago Sunday Tribune,1
-| Christian Science Monitor pll Ja,1
N Y Herald Tribune Bk R pic O,1
N Y Herald Tribune Bk R plS Ja,1
Springf'd Republican pSC Mr,1
"Miss Seeley's early successes."" A. B. N Y Times",1
—/j«w Yorker,1
-(-NY Herald Tribune Bk R,1
Chicaao Sunday Tribune,1
-h U S Quarterly Bkl,1
"'never would be missed.'"" C. N. Govan h Sat R of Lit",1
N Y Times pSl Ap,1
"New Statesman &, Nation",1
j- Chicago Sun,1
Chicago Sunday Tribune pfi Mr,1
Chicago Sunday Tribune pG Ja,1
-I Times [London] Lit Sup plOl F,1
Chicago Sunday Tribune pS S,1
-I Springf'd Republican plOC D,1
-\ Chicago Sun,1
N Y Herald Tribune Bk R plS Je,1
Hayes^ ^ ^ Herald Tribune Bk R,1
N Y Herald Tribune Bk R pS S,1
N Y Herald Tribune Bk R plS F,1
N Y Herald Tribune Bk R pi Mr,1
San Francisco Chronicle pit Je,1
J NY Herald Tribune Bk R,1
N Y Herald Tribune Bk R plS D,1
San Francisco Chronicle pH Ja,1
N Y Herald Tribune Bk R O,1
(- N Y Times pll S,1
Chicago Sunday Tribune pll N,1
Chicago Sunday Tribune pll O,1
"Library J 75:31,8 F lb",1
N Y Herald Tribune Bk R plO S,1
-i- Chicago Sunday Tribune,1
N Y Herald Tribune Bk R plO D,1
h N Y Herald Tribune Bk R pll Ag,1
(- N Y Herald Tribune Bk R,1
Christian Science Monitor pit! Jl,1
'+' Commonweal,1
Chicago Sunday Tribune pS Ag,1
NY Herald Tribune Bk R pll Jl,1
~74Times [London] Lit Sup,1
"•r Nation I lo:,o Ja",1
", -I Nation",1
// New Repub,1
-h Books,1
(- N Y Times plO Ag,1
Sprlngf'd Republican plO F,1
Boston Tran«cript pi Je,1
Yale R n s 28:vlli summer,1
f- Boston Transcript pi Je,1
"""t)0NoW1 state<""""an * Nation",1
Books i>i I O,1
Spi iiKjf'd Republican,1
Book* plS F,1
h Christian Science Monitor pll Ag,1
'—Sat R of Lit,1
Times [London] Lit Sup pCll O,1
-{ -NY Times,1
Springf'd Republican pTe Jl,1
i Canadian Forum,1
Boston Transcript pi N IS,1
'+' Sat R of Lit,1
Books !>:: Ja,1
N Y Herald Tribune Bk Ft plO Jl,1
Times [London] Lit Sup plox F,1
h Times [London] Lit Sup plOl F,1
School Arts 60:adv D,1
Chicago Sun pS My,1
■•- Christian Science Monitor pS My,1
Chicago Sunday Tribune pS Ap,1
Sprlngf'd Republican plOC My,1
•— Cath World,1
Springf'd Republican pSD Jc,1
N Y Herald Tribune Bk R pi! N,1
h N Y Times pfi N,1
-I NY Herald Tribune Bk R plO Jl,1
Christian Science Monitor pll N IS,1
-i NY Herald Tribune Bk R,1
-t Chicago Sunday Tribune,1
'— Atlantic,1
NY Herald Tribune Bk R pi S,1
•f- Manchester Guardian,1
-i Time,1
J Boston Transcript pi Je,1
Booklist 2.r)-.120 D,1
-i Bookm 67:xxvi Jl,1
! Spec,1
for the first,1
N Y World pOm My,1
"Cleveland Open Shelf ,,!:>:', N",1
Books (N Y Evening Poit),1
Boo km 67:xxvi Jl,1
Books (N Y Herald Tribune) pie O,1
"SNELL, EDMUND. Blue murder.",1
pi noutt,1
-j- Christian Century,1
New Repub 54:supl67 Mr,1
Bookm 67:xxll Ag,1
Bookm 66:Lxili D,1
"would be an unusually good one."" Edwin Muir (- Nation and Ath",1
=ml) New Statesman,1
Books (N Y Herald tribune),1
-I NY Times pG D,1
lists,1
New Repub 56:sup214 O,1
",,Tlmes [London] Lit Sup",1
Books (N Y Herald Tribune) pi Ag It,1
f Times [London] Lit Sup,1
New Repub 64:sup398 My,1
-r ind,1
in the,1
N Y Herald Tribune),1
"Books ""(N Y Herald Tribune)",1
St Louis 26:2SO S,1
Springf d Republican pit Mr,1
<N Y Heral* Tribune),1
Macrae Smith co.,1
-!- Times [London] Lit Sup,1
Boo km 67:xxxviii Mr,1
No Am 225:adv F,1
Boston transcript,1
"[L°ndon] Llt Su""",1
• h Books (N Y Herald Tribune),1
Bookm G7:xxiv Jl,1
Springf'd Republican pTf Je,1
Cleveland Open Shelf Pm N,1
-I NY World pSm My,1
Books (N Y Herald Tribune) plu Ag,1
-I Books (N Y Herald Tribune) plO S,1
-I Books (N Y Herald Tribune) pi! Ap,1
Books (N Y Herald Tribune) pB S,1
"-, Boston Transcript pi N",1
t0°—°Tfmes [London] Lit Sup,1
"fiction. The story is dull, but capably written."" (- Sat R of Lit",1
"'"" -j Boston Transcript",1
! N Y Evening Post,1
Wilson Uullelin,1
Bookm 67:xxlli Ag,1
Boston Transcript p! My,1
-[- Boston Transcript,1
ideas in its mingled brutality and sentimental,1
Boaton Transcript,1
N Y World pSm My,1
No Am 22S:adv N,1
Books (N Y Herald Tribune) plo S,1
Cosmopolitan bk.,1
••- Springf'd Republican,1
cept decay and death through,1
"in the documenting of our own day."" h Sat R of Lit",1
-( Books (N Y Herald Tribune),1
Spimgfd Republican,1
Chicago Tribune,1
stone.,1
"pressions very vividly."" Sat R",1
"Par'"" ™Books!PPN Y Herald Tribune)",1
+1PBooks (N Y Herald Tribune),1
"appointment; but it ia not dull."" R. A. Taylor h Spec",1
-) NY Evenlno Post,1
-( Times [London] Lit Sup,1
Boo km 67:xxi My,1
"ment on Its predecessors."" J. P.",1
New Statesman 30:supzvlll N,1
I- New Statesman,1
Books (N Y Herald Tribune) pl« Ja,1
N Y Tinius,1
-; Times [London] Lit Sup,1
Bookm 66:xxxviii N,1
who like a roaring adventure tale and who,1
Hid,1
Quo km 67:xxl Ag,1
Bo»ton Transcript,1
No Am 255:adv Je,1
"towards a dubious goal."" L,. P. Hartley h Sat R",1
Bookm 67:xxxiii My,1
-r- Spec,1
-j Boston Transcript pti O,1
Sat R 145:8-14 Je,1
Timee [ London | Lit Sup,1
Books (N Y Herald Tribune) pis F,1
Books (N Y Herald Tribune) plO,1
Harper,1
Spec 129:siipfi62 N,1
-) Detroit News,1
j- Freeman 5:-l!>7 Ag,1
The Times | London] Lit Sup,1
H- N Y Tribune,1
"charm,- Springf'd Republican",1
N Y Time* sec7:6 O,1
puzzle^ N Y Tjmeg pifi My,1
Int Bk R pCO F,1
New Statesman 20:supxll D,1
The Times [London] Lit Sup pli-17 O,1
-| NY Times pll D,1
N Y -Herald Tribune Bk R,1
-| NY Herald Tribune Bk R plO Ja,1
!- Boston Transcript,1
"thesis should have absorbed the entire book."" Nation",1
N Y Evening Post plS Mr,1
