volume_author,review_author,aRatio,trunc_volumetitle,volume_title,trunc_revtitle,review_title,tRatio,original_tRaio,volume_year,review_year,docid,rownum
"corbett, elizabeth frances","corbett, elizabeth frances.",98,langworthy fami,"the langworthy family; a novel of mount royal, by elizabeth corbett.",langworthy family.,the langworthy family.,94,94,1937.0,1937,mdp.39015059447691,2479
"freeman, r. austin (richard austin)","freeman, richard austin.",78,dr. thondyke's disco,"dr. thondyke's discovery, by r. austin freeman.",dr. thorndyke's discovery.,dr. thorndyke's discovery.,94,92,1932.0,1932,mdp.39015035383887,5110
"fillmore, parker","fillmore, parker hoysted.",78,"yesterday morning,","yesterday morning, by parker fillmore ....",yesterday morning.,yesterday morning.,94,94,1931.0,1931,coo.31924014523306,4387
"ferber, edna",ferber. edna.,88,"american beauty, by edna ferbe","american beauty, by edna ferber; woodcut decorations by rudolph ruzicka.",american beauty.,american beauty.,94,94,1931.0,1931,mdp.39015003345298,4075
"castlen, harriet gift","castlen, harriet gift.",98,"that was a time,","that was a time, by harriet gift castlen.",that was a time.,that was a time.,94,94,1937.0,1937,mdp.39015039924082,3303
"chase, mary ellen","chase, mary ellen.",97,dawn in ly,"dawn in lyonesse, by mary ellen chase.",dawn in lyonesse.,dawn in lyonesse.,94,94,1938.0,1938,mdp.39015030727989,5595
"fletcher, j. s. (joseph smith)","fletcher, joseph smith.",83,"perris of the cherry-trees, ","perris of the cherry-trees, by j. s. fletcher.",perru of the cherry-trees.,perru of the cherry-trees.,94,92,1930.0,1930,mdp.39015063957222,61
"coolidge, dane","coolidge, dane.",97,hell's hi,hell's hip pocket by dane coolidge.,hell's hip pocket.,hell's hip pocket.,94,94,1938.0,1938,uc1.$b236098,1927
"foley, pearl","foley, pearl.",96,octagon crysta,"the octagon crystal, by pearl foley.",octagon crystal.,octagon crystal.,94,94,1929.0,1930,uc1.b3687805,333
"farnol, jeffery","farnol, jeffery.",97,shadow and other stories by je,the shadow and other stories by jeffery farnol.,"shadow, and other stories.","the shadow, and other stories.",94,92,1929.0,1929,uc1.$b300219,2553
"fort, john porter","fort, john p.",80,"stone daugherty, by j","stone daugherty, by john p. fort.",stone daugherty.,stone daugherty.,94,94,1929.0,1929,mdp.39015063917424,4209
"fletcher, j. s. (joseph smith)","fletcher, joseph smith.",83,borough treasurer by j.s. fl,the borough treasurer by j.s. fletcher.,borough treasurer.,borough treasurer.,94,94,1928.0,1921,osu.32435055536726,74
"fisher, rudolph","fisher, rudolph.",97,walls of jer,the walls of jericho by rudolph fisher.,walls of jericho.,walls of jericho.,94,94,1928.0,1928,uc1.$b300242,4070
"farnol, jeffery","farnol, jeffery.",97,"guyfford of weare, by jeffery ","guyfford of weare, by jeffery farnol.",guyfford of weare.,guyfford of weare.,94,94,1928.0,1928,mdp.39015063918430,4175
"sinclair, may","sinclair, may.",96,belfry,the belfry,belfry,"belfry (eng title, tasker jevons).",94,100,1916.0,1916,uc2.ark+=13960=t6zw1ct4q,33
"burroughs, edgar rice","burroughs, edgar rice.",98,pirates of venus ,pirates of venus by edgar rice burroughs ; introduction to the bison books ed. by f. paul wilson ; afterword by phillip r. burger ; glossary by scott tracy griffin ; frontispiece by j. allen st. john ; illustrations by thomas floyd.,pirates of venus.,pirates of venus.,94,94,1934.0,1934,mdp.39015053531805,2692
"mcmasters, william henry","mcmasters, william henry.",98,revolt,revolt,revolt,revolt. il,94,100,1919.0,1920,uc2.ark+=13960=t40r9mh21,1221
"marshall, archibald","marshall, archibald.",97,richard baldo,richard baldock;,richard baldock.,richard baldock.,94,94,1918.0,1918,uc2.ark+=13960=t6ww7960j,1409
"marsh, ngaio","marsh, ngaio.",96,death at the bar .,death at the bar ...,death at the bar.,death at the bar.,94,94,1941.0,1940,mdp.39015005783215,5094
"mitchell, lebbeus","mitchell, lebbeus.",97,"parachute murder,","the parachute murder, by lebbeus mitchell.",parachute murder.,parachute murder.,94,94,1933.0,1933,mdp.39015063943651,3916
"maugham, w. somerset, (william somerset)","maugham, william somerset.",76,up at the villa w. somerset ma,up at the villa w. somerset maugham.,up at the villa.,up at the villa.,94,94,1941.0,1941,uc1.$b106208,2166
"moon, bucklin","moon, bucklin.",96,without magnolias ,without magnolias bucklin moon.,without magnolias.,without magnolias.,94,94,1949.0,1949,uc1.$b106387,1820
"sharp, margery","sharp, margery.",97,stone of cha,"the stone of chastity,",stone of chastity.,stone of chastity.,94,94,1940.0,1940,mdp.39015006588175,4682
"musson, bennet","musson, bennet.",97,"turn to the right, by bennet m","turn to the right, by bennet musson, from the play by winchell smith and john e. hazzard.",turn to the right.,turn to the right.,94,94,1917.0,1917,nyp.33433076054398,1535
"mair, john","mair, john.",95,"never come back, john mair.","never come back, john mair.",never come back.,never come back.,94,94,1941.0,1941,mdp.39015008922638,1009
"maclennan, hugh","maclennan, hugh.",97,barometer ,barometer rising [by] hugh maclennan.,barometer rising.,barometer rising.,94,94,1941.0,1941,mdp.39015008837695,814
"seymour, beatrice kean (stapleton), mrs","seymour, beatrice kean (stapleton) (mrs w. k. seymour).",81,frost at mornin,"frost at morning, by beatrice kean seymour.",frost at morning.,frost at morning.,94,94,1935.0,1935,mdp.39015063956372,1226
"maugham, w. somerset, (william somerset)","maugham, william somerset.",76,mixture as before by m. somers,the mixture as before by m. somerset maugham.,mixture as before.,the mixture as before.,94,94,1940.0,1940,yul.11854183_000_00,5710
"smedley, agnes","smedley, agnes.",97,"daughter of earth,","daughter of earth, by agnes smedley; with a foreword by malcolm cowley.",daughter of earth.,daughter of earth.,94,94,1935.0,1929,uc1.$b312538,452
"mcintire, marguerite pearman","mcintire, mrs marguerite (pear- man).",86,heaven's doo,"heaven's dooryard,",heaven's dooryard.,heaven's dooryard.,94,94,1940.0,1940,umn.31951002013115n,3734
"street, james h. (james howell)","street, james howell.",77,"oh, promised ","oh, promised land,","oh, promised land.","oh, promised land.",94,94,1940.0,1940,mdp.39015014859998,62
"mitchell, gladys","mitchell, gladys.",97,saltmarsh murders,the saltmarsh murders.,sajtmarsh murders.,sajtmarsh murders.,94,94,1933.0,1933,mdp.39015010745191,3890
"sanford, john b","sanford, john b.",97,old man's place by jo,the old man's place by john b. sanford.,old man's place.,old man's place.,94,94,1935.0,1935,uc1.$b312451,3170
"mccutcheon, george barr","mccutcheon, george barr.",98,shot with ,"shot with crimson, by george barr mccutcheon ... with illustrations by f. r. gruger.",shot with crimson.,shot with crimson.,94,94,1918.0,1918,uc1.b3325501,862
"weyl, maurice","weyl, maurice.",96,choice,the choice,choice,the choice.,94,100,1919.0,1919,uc2.ark+=13960=t23b5xq82,1886
"milne, a. a. (alan alexander)","milne, alan alexander.",82,"four days' wonder,","four days' wonder,",four days' wonder.,four days' wonder.,94,94,1933.0,1933,mdp.39015031298741,3810
"stuart, francis",stuart. francis.,90,in search of love ,in search of love by francis stuart.,in search of love.,in search of love.,94,94,1935.0,1935,uc1.$b244769,2778
"undset, sigrid","undset, sigrid.",97,"bridal wreath, tr. from the no","the bridal wreath, tr. from the norwegian of sigrid undset by c. archer and j. s. scott.",bridal wreath: tr.,bridal wreath: tr.,94,94,1928.0,1923,mdp.39015046378983,1994
"macgrath, harold","macgrath, harold.",97,girl in his house,the girl in his house by harold macgrath ... ; illustrated by howard giles.,girl in his house.,girl in his house.,94,94,1918.0,1918,nyp.33433076024904,332
"santmyer, helen hooven","santmyer, helen hooven.",98,herbs and apple,herbs and apples helen hooven santmyer.,herbs and apples.,herbs and apples.,94,94,1925.0,1925,uc1.b4437781,3650
"myers, l. h. (leopold hamilton)","myers, leopold hamilton.",84,near and the fa,"the near and the far; containing the root and the flower & the pool of vishnu, by l. h meyers.",near and the far.,near and the far.,94,94,1940.0,1930,mdp.39015003959148,1610
"smith, roy lemon","smith, roy lemon.",97,desert democrac,desert democracy[by] roy l. smith.,desert democracy.,desert democracy.,94,94,1939.0,1940,wu.89101370815,2039
"maugham, w. somerset, (william somerset)","maugham, william somerset.",76,"moon and sixpence, by w. somer","the moon and sixpence, by w. somerset maugham ...",moon and sixpence.,moon and sixpence.,94,94,1919.0,1919,mdp.39015005094449,1963
"muir, peter","muir, peter.",96,"war without music,","war without music, by peter muir.",war without music.,war without music.,94,94,1940.0,1940,uc1.$b282828,2692
"steinbeck, john","steinbeck, john.",97,grapes of wrath text and criti,the grapes of wrath text and criticism john steinbeck ; edited by peter lisca.,grapes of wrath.,the grapes of wrath.,94,94,1968.0,1939,mdp.39015003870592,2077
"smedley, agnes","smedley, agnes.",97,daughter of earth ,daughter of earth a novel by agnes smedley ; afterword by paul lauter.,daughter of earth.,daughter of earth.,94,94,1950.0,1929,pst.000030508125,452
"scannell, francis p","scannell, francis p.",97,"in line of duty,","in line of duty,  a novel by francis p. scannell.",in line of duty.,in line of duty.,94,94,1946.0,1946,uc1.$b63735,3269
"macfarlane, peter clark",mcfarlane. peter clark.,91,tongues of flame ,tongues of flame by peter clark macfarlane ; ill. by walt louderback.,tongues of flame.,tongues of flame.,94,94,1924.0,1924,uc1.$b298607,1809
"mackenzie, compton, sir","mackenzie, compton.",86,sylvia & michael; the later ad,sylvia & michael; the later adventures of sylvia scarlett.,sylvia & michael.,sylvia & michael.,94,94,1919.0,1919,mdp.49015000992736,1066
"monroe, anne shannon","monroe, anne shannon.",98,behind the ranges by,behind the ranges by anne shannon monroe ...,behind the ranges.,behind the ranges.,94,94,1925.0,1925,uc1.$b302041,3671
"seeley, mabel","seeley, mrs mabel.",84,chuckl,the chuckling fingers [cby] mabel seeley.,chuckling fingers.,the chuckling fingers.,94,94,1941.0,1941,mdp.39015059435225,2272
"walpole, hugh, sir","walpole, hugh seymour.",80,young enchanted;,the young enchanted;,young enchanted.,young enchanted.,94,94,1921.0,1921,uc2.ark+=13960=t6vx08p8n,1471
"moore, john trotwood","moore, john trotwood.",98,hearts of hickory; a story of ,"hearts of hickory; a story of andrew jackson and the war of 1812, by john trotwood moore.",hearts of hickory.,hearts of hickory.,94,94,1926.0,1926,mdp.39015013150977,762
"walpole, hugh, sir","walpole, hugh seymour.",80,young enchanted; a r,"the young enchanted; a romantic story, by hugh walpole.",young enchanted.,young enchanted.,94,94,1921.0,1921,mdp.39015031312997,1471
"thomas, gwyn","thomas, gwyn.",96,dark philosophers gwyn thomas.,the dark philosophers gwyn thomas.,dark philosophers.,dark philosophers.,94,94,1981.0,1947,mdp.39015064748133,3774
"matthews, harold","matthews, harold.",97,river-bo,"river-bottom boy, a novel by harold matthews.",river-bottom boy.,river-bottom boy.,94,94,1942.0,1942,uc1.$b106190,2775
"myers, john myers","myers, john myers.",97,out on any ,out on any limb [by] john myers myers.,out on any limb.,out on any limb.,94,94,1942.0,1942,uc1.$b57093,735
"marshall, archibald","marshall, archibald.",97,lady of the m,the lady of the manor [by] archibald marshall.,lady of the manor.,lady of the manor.,94,94,1932.0,1932,mdp.39015005649861,5217
"miller, max","miller, max.",96,man on the ,"the man on the barge,",man on the barge.,the man on the barge.,94,94,1935.0,1935,mdp.39015000611650,4492
"shedd, george c. (george clifford)","shedd, george clifford.",77,invisible en,the invisible enemy by george c. shedd ...,invisible enemy.,invisible enemy.,94,94,1918.0,1918,nyp.33433076044605,220
"tracy, louis","tracy, louis.",96,"number seventeen, by ","number seventeen, by louis tracy ...",number seventeen.,number seventeen.,94,94,1919.0,1919,nyp.33433075768824,2212
"morgan, charles","morgan, charles.",97,my name is ,my name is legion charles morgan.,my name is legion.,my name is legion.,94,94,1925.0,1925,mdp.39015053606623,308
"mccarthy, mary","mccarthy, mary.",97,cast a cold eye ,cast a cold eye mary mccarthy.,cast a cold eye.,cast a cold eye.,94,94,1950.0,1950,pst.000012597444,1447
"shane, janet","schane, janet.",92,dazzling crystal ,the dazzling crystal janet schane.,dazzling crystal.,dazzling crystal.,94,94,1946.0,1946,mdp.39015040132493,3328
"seltzer, charles alden","seltze.r, charles alden.",96,clear the trail,clear the trail charles alden seltzer.,clear the trail.,clear the trail.,94,94,1933.0,1933,osu.32435058060781,57
"macglashan, katrine","macglashan, katrine.",97,"horseless buggy,","horseless buggy,",horseless buggy.,horseless buggy.,94,94,1942.0,1942,mdp.39015021038511,2276
"spring, howard","spring, howard.",97,fame is the spur [by] ,fame is the spur [by] howard spring.,fame is the spur.,fame is the spur.,94,94,1940.0,1940,uc1.$b105639,4161
"terhune, albert payson","terhune, albert payson.",98,dolla,dollars and cents by albert payson terhune ...,dollars and cents.,dollars and cents.,94,94,1917.0,1917,njp.32101064209990,1876
"sinclair, harold","sinclair, harold.",97,westward the tide harold sincl,westward the tide harold sinclair.,westward the tide.,westward the tide.,94,94,1940.0,1940,uc1.$b105480,2698
"merwin, samuel",merwin. samuel.,90,moment of beauty [by] ,the moment of beauty [by] samuel merwin.,moment of beauty.,moment of beauty.,94,94,1925.0,1925,mdp.39015016777891,2149
"swanson, neil h. (neil harmon)","swanson, neil harmon.",78,phantom emperor neil h. swanso,the phantom emperor neil h. swanson.,phantom emperor.,phantom emperor.,94,94,1934.0,1934,uc1.$b63934,3715
"montross, lois (seyster) mrs","montross, lois (seyst.er) (mrs lynn montross).",76,"wind before dawn, b","wind before dawn, by lois montross.",wind before dawn.,wind before dawn.,94,94,1932.0,1932,uc1.$b302047,1342
"sitwell, osbert","sitwell, osbert.",97,miracle on sin,"miracle on sinai, a satirical novel, by osbert sitwell ...",miracle on sinai.,miracle on sinai.,94,94,1934.0,1934,uc1.$b105489,3148
"seifert, shirley","seifert, shirley.",97,river out of ede,river out of eden a novel by shirley seifert.,river out of eden.,river out of eden.,94,94,1940.0,1940,uc1.$b63750,1142
"mckenna, stephen","mckenna, stephen.",97,"sonia, betwee","sonia, between two worlds, by stephen mckenna.",sonia; between two worlds.,sonia; between two worlds.,94,92,1917.0,1917,nyp.33433074875893,1553
"skidmore, hubert",skidmore. hubert.,91,hill doctor; illustr,hill doctor; illustrated by benton spruance.,hill doctor; il.,hill doctor; il.,94,94,1940.0,1940,uc1.b4098757,2883
"undset, sigrid","undset, sigrid.",97,in the wilderness.,in the wilderness.,in the wilderness:,in the wilderness: tr.,94,94,1929.0,1929,pst.000022805287,5988
"mitchell, ruth comfort","mitchell, ruth comfort (mrs w. s. young).",70,old san francisco ... ,old san francisco ... by ruth comfort mitchell; decorations by edward c. caswell.,old san francisco.,old san francisco.,94,94,1933.0,1933,uc1.$b243694,3967
"stewart, george rippey","stewart, george rippey.",98,storm.,storm.,storm.,storm.,94,100,1941.0,1941,mdp.39015041831853,4986
"singleton, frank",singleton. frank.,91,independent means ,independent means a novel by frank singleton.,independent means.,independent means.,94,94,1948.0,1948,wu.89099789612,1152
"macleod, della campbell","macleod, della campbell.",98,swan and the mule;,"the swan and the mule; a novel, by della macleod ...",swan and the mule.,swan and the mule.,94,94,1922.0,1923,nyp.33433076025356,1029
"steinbeck, john","steinbeck, john.",97,of mice and men.,of mice and men.,of mice and men;,of mice and men; a play in three acts.,94,94,1937.0,1937,mdp.39015002260167,2191
